TEST;FAULT_TYPE;COMPONENT;CLASS;FUNCTION;FAULT_POINT;ROUND_1;ASSERTION_R1;API_R1;ROUND_2;ASSERTION_R2;API_R2
Test_1;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/api.py;API;get_list_volumes_image_metadata+1259;return results;NO_FAILURE;;;NO_FAILURE;;
Test_2;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/drivers/lvm.py;LVMVolumeDriver;clone_image+571;return (None, False);FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_3;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image_download+704;return model_update;NO_FAILURE;;;NO_FAILURE;;
Test_4;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image_cache_or_download+888;return model_update;NO_FAILURE;;;NO_FAILURE;;
Test_5;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image+958;return model_update;NO_FAILURE;;;NO_FAILURE;;
Test_6;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/db/api.py;None;image_volume_cache_get_by_volume_id+1636;return IMPL.image_volume_cache_get_by_volume_id(context, volume_id);NO_FAILURE;;;NO_FAILURE;;
Test_7;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/api/v2/volumes.py;VolumeController;_image_uuid_from_ref+147;return image['id'];NO_FAILURE;;;NO_FAILURE;;
Test_8;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/db/sqlalchemy/api.py;None;image_volume_cache_get_by_volume_id+6544;return session.query(models.ImageVolumeCacheEntry).filter_by(volume_id=volume_id).first();NO_FAILURE;;;NO_FAILURE;;
Test_9;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/image_utils.py;TemporaryImages;for_image_service+658;return instance;FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_10;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/cache.py;ImageVolumeCache;get_by_image_volume+41;return self.db.image_volume_cache_get_by_volume_id(context, volume_id);NO_FAILURE;;;NO_FAILURE;;
Test_11;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/glance.py;GlanceImageService;get_remote_image_service+630;return (image_service, image_href);FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_12;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/glance.py;GlanceImageService;_is_image_available+474;return True;NO_FAILURE;;;NO_FAILURE;;
Test_13;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/filter_scheduler.py;FilterScheduler;schedule_create_volume+108;self.volume_rpcapi.create_volume(context, updated_volume, request_spec, filter_properties, allow_reschedule=True);FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_14;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/filter_scheduler.py;FilterScheduler;_choose_top_backend+545;backend_state.consume_from_volume(volume_properties);FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_15;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/host_manager.py;HostManager;_update_backend_state_map+610;backend_state.update_from_volume_capability(capabilities, service=dict(service));FAILURE;FAILURE_VOLUME_CREATED;;NO_FAILURE;;
Test_16;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/objects/volume.py;Volume;finish_detach+547;db.volume_admin_metadata_delete(self._context, self.id, 'attached_mode');NO_FAILURE;;;NO_FAILURE;;
