TEST	FAULT_TYPE	COMPONENT	CLASS	FUNCTION	FAULT_POINT	ROUND_1	ASSERTION_R1	API_R1	ROUND_2	ASSERTION_R2	API_R2
Test_1	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/managers.py	TypeManager	_add_network_segment+189	segments_db.add_network_segment(context, network_id, segment, segment_index)	FAILURE		 openstack network create 	NO_FAILURE		
Test_2	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_ml2_md_extend_network_dict+635	plugin.extension_manager.extend_network_dict(session, netdb, result)	FAILURE		 openstack network set 	NO_FAILURE		
Test_3	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_create_network_db+827	self.mechanism_manager.create_network_precommit(mech_context)	FAILURE		 openstack network create 	NO_FAILURE		
Test_4	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_network_delete_precommit_handler+998	self.mechanism_manager.delete_network_precommit(mech_context)	FAILURE		 openstack domain create 	NO_FAILURE		
Test_5	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	create_network+833	self._before_create_network(context, network)	FAILURE		 openstack network create 	NO_FAILURE		
Test_6	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_network_delete_after_delete_handler+1005	self.mechanism_manager.delete_network_postcommit(context._mech_context)	NO_FAILURE			NO_FAILURE		
Test_7	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_after_create_network+841	self.mechanism_manager.create_network_postcommit(mech_context)	FAILURE		 openstack network create 	NO_FAILURE		
Test_8	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_network_delete_after_delete_handler+1013	self.notifier.network_delete(context, network['id'])	NO_FAILURE			NO_FAILURE		
Test_9	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_handle_segment_change+1888	self.type_manager.release_network_segment(context, segment)	FAILURE		 openstack network delete 	NO_FAILURE		
Test_10	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/managers.py	TypeManager	extend_networks_dict_provider+161	self._extend_network_dict_provider(network, segments)	FAILURE		 openstack network set 	NO_FAILURE		
Test_11	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_create_subnet_db+1033	self.type_manager.extend_network_dict_provider(context, network)	FAILURE		 openstack subnet create 	NO_FAILURE		
Test_12	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_notify_mechanism_driver_for_segment_change+1916	self.mechanism_manager.update_network_postcommit(mech_context)	NO_FAILURE			NO_FAILURE		
Test_13	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_notify_mechanism_driver_for_segment_change+1914	self.mechanism_manager.update_network_precommit(mech_context)	FAILURE		 openstack network delete 	NO_FAILURE		
Test_14	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_create_network_db+792	self.type_manager.create_network_segments(context, net_data, tenant_id)	FAILURE		 openstack network create 	NO_FAILURE		
Test_15	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_create_network_db+799	self.extension_manager.process_create_network(context, {k: v for (k, v) in net_data.items() if (k != 'id')}, result)	FAILURE		 openstack network create 	NO_FAILURE		
Test_16	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	_create_network_db+806	self.type_manager.extend_network_dict_provider(context, result)	FAILURE		 openstack network create 	NO_FAILURE		
Test_17	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	get_network+939	self.type_manager.extend_network_dict_provider(context, net_data)	FAILURE		 openstack router add subnet 	NO_FAILURE		
Test_18	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/plugin.py	Ml2Plugin	get_networks+961	self.type_manager.extend_networks_dict_provider(context, net_data)	FAILURE		 openstack network set 	NO_FAILURE		
Test_19	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py	SinkHole	treat_devices_added_or_updated+1569	self._update_port_network(details['port_id'], details['network_id'])	FAILURE	FAILURE_INSTANCE_ACTIVE		NO_FAILURE		
Test_20	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py	SinkHole	process_deleted_ports+454	self._clean_network_ports(port_id)	FAILURE	FAILURE_INSTANCE_ACTIVE		NO_FAILURE		
Test_21	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py	SinkHole	_update_port_network+1582	self._clean_network_ports(port_id)	FAILURE	FAILURE_INSTANCE_ACTIVE		NO_FAILURE		
Test_22	OPENSTACK_THROW_EXCEPTION-NETWORK	/neutron/plugins/ml2/extensions/port_security.py	PortSecurityExtensionDriver	process_create_network+44	self._process_network_port_security_create(context, data, result)	FAILURE		 openstack network create 	FAILURE	FAILURE_INSTANCE_ACTIVE	
