TEST;FAULT_TYPE;COMPONENT;CLASS;FUNCTION;FAULT_POINT;ROUND_1;ASSERTION_R1;API_R1;ROUND_2;ASSERTION_R2;API_R2
Test_1;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;do_attach_volume+4920;do_attach_volume(context, instance, driver_bdm);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_2;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;cleanup+1013;self._disconnect_volume(connection_info, disk_dev, instance);NO_FAILURE;;;NO_FAILURE;;
Test_3;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/compute/api.py;API;_check_requested_networks+402;return self.network_api.validate_networks(context, requested_networks, max_count);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_4;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;_validate_requested_network_ids+749;return {net['id']: net for net in nets};FAILURE;FAILURE_SSH;;NO_FAILURE;;
Test_5;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;_get_available_networks+368;return nets;FAILURE;; openstack server create ;NO_FAILURE;;
Test_6;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;validate_networks+1720;return num_instances;FAILURE;; openstack server create ;NO_FAILURE;;
Test_7;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume+1275;self._check_discard_for_attach_volume(conf, instance);NO_FAILURE;;;NO_FAILURE;;
Test_8;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/common.py;None;get_networks_for_instance+326;return get_networks_for_instance_from_nw_info(nw_info);NO_FAILURE;;;NO_FAILURE;;
Test_9;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/common.py;None;get_networks_for_instance_from_nw_info+303;return networks;NO_FAILURE;;;NO_FAILURE;;
Test_10;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/compute/servers.py;ServersController;_get_requested_networks+434;return objects.NetworkRequestList(objects=networks);NO_FAILURE;;;NO_FAILURE;;
Test_11;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/netutils.py;None;get_network_metadata+219;return {'links': links, 'networks': nets, 'services': services};NO_FAILURE;;;NO_FAILURE;;
Test_12;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/netutils.py;None;_get_first_network+53;return next((i for i in network['subnets'] if (i['version'] == version)));FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_13;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/osinfo.py;HardwareProperties;network_model+130;return ('virtio' if (model == 'virtio-net') else model);NO_FAILURE;;;NO_FAILURE;;
Test_14;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_domain_and_network+5457;return guest;NO_FAILURE;;;NO_FAILURE;;
Test_15;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/objects/instance.py;Instance;get_network_info+1173;return self.info_cache.network_info;FAILURE;; openstack server create ;NO_FAILURE;;
Test_16;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;create_db_entry_for_new_instance+1565;self._populate_instance_for_create(context, instance, image, index, security_group, instance_type, num_instances, shutdown_terminate);FAILURE;; openstack server create ;NO_FAILURE;;
Test_17;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_ephemeral_devices+3936;self._connect_volume(connection_info, info, instance);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_18;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_do_build_and_run_instance+1852;self._build_and_run_instance(context, instance, image, decoded_files, admin_password, requested_networks, security_groups, block_device_mapping, node, limits, filter_properties);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_19;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance+1975;self._notify_about_instance_usage(context, instance, 'create.start', extra_usage_info={'image_name': image_name});FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_20;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_default_block_device_names+1555;self._default_device_names_for_instance(instance, root_device_name, ephemerals, swap, block_device_mapping);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_21;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_default_device_names_for_instance+1497;self.driver.default_device_names_for_instance(instance, root_device_name, *block_device_lists);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_22;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_check_attach_and_reserve_volume+3692;self.volume_api.reserve_volume(context, volume_id);NO_FAILURE;;;NO_FAILURE;;
Test_23;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_notify_about_instance_usage+1663;compute_utils.notify_about_instance_usage(self.notifier, context, instance, event_suffix, network_info=network_info, system_metadata=system_metadata, extra_usage_info=extra_usage_info, fault=fault);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_24;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance+1977;compute_utils.notify_about_instance_create(context, instance, self.host, phase=fields.NotificationPhase.START);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_25;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;delete+2171;self._delete_instance(context, instance);NO_FAILURE;;;NO_FAILURE;;
Test_26;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_attach_volume+3707;self._check_attach_and_reserve_volume(context, volume_id, instance);NO_FAILURE;;;NO_FAILURE;;
Test_27;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_attach_volume+3708;self.compute_rpcapi.attach_volume(context, instance, volume_bdm);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_28;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;reboot_instance+3085;compute_utils.notify_about_instance_action(context, instance, self.host, action=fields.NotificationAction.REBOOT, phase=fields.NotificationPhase.START);NO_FAILURE;;;NO_FAILURE;;
Test_29;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance+2128;self._update_scheduler_instance_info(context, instance);FAILURE;; openstack server add volume ;NO_FAILURE;;
Test_30;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_connect_volume+1191;vol_driver.connect_volume(connection_info, disk_info, instance);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_31;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/scheduler/client/__init__.py;SchedulerClient;update_instance_info+71;self.queryclient.update_instance_info(context, host_name, instance_info);FAILURE;; openstack server add volume ;NO_FAILURE;;
Test_32;DISKIO_MISSING_FUNCTION_CALL-OPEN;/nova/virt/libvirt/host.py;Host;get_memory_mb_used+787;with open('/proc/meminfo') as fp:\n    m = fp.read().split();FAILURE;FAILURE_INSTANCE_ACTIVE;;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_33;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_connect_volume+1191;vol_driver.connect_volume(connection_info, disk_info, instance);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
